c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15,c16,c17,c18,c19,c20,c21,c22,c23,c24,c25,c26,c27,c28,c29,c30,c31,c32,c33,c34,c35,c36,c37,c38,c39,c40,c41,c42,c43,c44,c45,c46,c47,c48,c49,c50,c51,c52,c53,c54,c55,c56,c57,c58,c59,c60,c61,c62,c63,c64,c65,c66,c67,c68,c69,c70,c71,c72,c73,c74,c75,c76,c77,c78,c79,c80,c81,c82,c83,c84,c85,c86,c87,c88,c89,c90,c91,c92,c93,c94,c95,c96,c97,c98,c99,c100,c101,c102,c103,c104,c105,c106,c107,c108,c109,c110,c111,c112,c113,c114,c115,c116,c117,c118,c119,c120,c121,c122,c123,c124,c133,c134,c135,c136,c137,c138,c139,c140,c141,c142,c143,c144,c145,c146,c147,c148,c149,c125,c126,c127,c128,c129,c130,c131,c132,c150,c151,c152,c153,c154,c155,c156,c157,c158,c159,c160,c161,c162,c163,c164,c165,c166,c167,c168,c169,c170,c171,c172,c173,c174,c175,c176,c177,c178,c179,c180,c181,c182,c183,c184,c185,c186,c187,c188,c189,c190,c191,c192,c193,c194,c195,c196,c197,c198,c199,c200,c201,c202,c203,c204,c205,c206,c207,c208,c209,c210,c211,c212,c213,c214,c215,c216,c217,c218,c219,c220,c221,c222,c223,c224,c225,c226,c227,c228,c229,c230,c231,c232,c233,c234,c235,c236,c237,c238,c239,c241
01-09-2018,2,164.1547999,155.467568,0.707846664,1.227070839,2.264965134,18.97888563,7.561194114,0.719496719,51.21878063,7.973372246,31.15550354,0.002228392,1.713008735,17.63442183,28.33470022,25.10230261,13.59906979,7.120964189,9.257514948,2.743170109,44.70346827,0.707846664,1.227070839,493.7967645,104.5538708,41.18760074,290.9653403,14.37955205,70.67845757,48.67900503,-69.20340324,0.14746748,1.495171996,0.049850161,0.411731644,33.21451119,0.410096235,90.32088858,2.352447219,4.028579559,3.819130564,9.430478553,7.104666929,0.102967479,27.07195731,2.036091296,78.34137117,7.047554364,6.981073133,7.870520921,4.715955335,4.625416104,-0.046137339,30.6975009,6.411242476,93.73933086,17.12361957,5.97661081,7.618151917,8.095883104,6.698373236,-0.325323641,39.60887309,16.52374195,94.03712178,35.63601517,155.467568,10.78940247,9.894964311,18.56782131,14.67236352,-0.290204847,4999.13749,111.8656779,41.84769634,1.211965084,1.223305941,1.240959167,1.275582314,#REF!,94.03712178,1.1865362,2.345960815,1.170857065,2.434568273,1.218357585,2.359767012,1.184284375,2.088600224,1.250915594,4.985403956,1.21547652,5.64087689,1.298768575,4.347072225,1.298117703,4.354379799,81.19158518,103.270261,82.40784611,91.07390227,306.2145112,363.3208886,141.5505576,332.0720614,0.200541286,300.0719573,#REF!,301.0413123,792.6061674,#REF!,303.6975009,366.7393309,730.1915478,1780.948188,0.211552702,312.6088731,367.0371218,1722.107336,3596.793768,0.217938191,77.07988918,#REF!,22.10589092,451.0372222,28.33470022,6.64562576,25.10230261,13.59906979,34.06030705,111.8656779,48.457544,37,41.84769634,70.67845757,688.2834644,77.00032475,164.1547999,#REF!,0.316355923,0.636311888,0.381180239,155.467568,9.258907272,0.675405737,0.122342513,0.001726589,86.89671383,0.719543499,0.218697386,168.4050446,32.15550068,0,0,9,9,800,450,150,150,50,90.33460236,103.3373566,97.01215363,97.21780396,1.199,1.209,1.21,1.221,81.81307316,70.81776857,77.85852551,77.83018947,80.27318716,82.55459666,79.68477607,79.96738553,-1.539885998,11.73682809,1.826250553,2.137196064,0.082258264,-0.055654741,-0.327618658,179.7481991,#REF!,#REF!,#REF!,2.516714334,7.630127907,17.26586914,37.85682297,94.82074738,91.07556915,95.95766449,100.5169601,,2.586091296,2.507865525,,25.51811878,,22.12495508,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,0.164137891,0.142312351,,2.286091296,6.661242476,,30.32160487,,,,,0.670199532,68.09811892,66.4922491,32.75385773,42.81141198,2.18408281
02-09-2018,2,162.1157368,153.6452232,0.454139869,0.671908956,2.260011181,18.63905009,7.844961777,0.702348357,49.73278091,7.742873995,29.48822541,0.002228306,2.586004248,16.74607654,28.21145298,23.41742157,13.16719296,7.79341316,9.218110051,2.596313896,43.97355714,0.454139869,0.671908956,493.6618891,104.5132056,41.58075234,290.6211899,14.31532307,69.51625734,48.05741677,-69.41408086,0.129028271,1.457910021,0.049858777,0.787260595,32.78127016,0.409464993,89.6836041,2.346750587,4.037999153,3.798300544,9.423194815,7.132928956,0.102696537,26.64926516,2.039318368,77.39914817,7.046285675,7.013980205,7.897945414,4.732055578,4.637409995,-0.05539869,30.46863654,6.417242635,93.31885739,17.07763918,5.928298197,7.53442714,8.102228097,6.713856012,-0.325742714,39.4693697,16.53955655,93.68571204,35.58957363,153.6452232,10.58088765,9.78607848,18.22981756,14.49863164,-0.290550317,4983.964449,111.1104009,42.32458594,1.212685108,1.224268794,1.241712332,1.275809765,#REF!,93.68571204,1.186850685,2.343038204,1.169364283,2.431821632,1.218338727,2.35195695,1.184253699,2.084077722,1.251862879,4.970414388,1.213690862,5.679657291,1.300243833,4.330626273,1.299201535,4.34222884,81.17292847,104.3433194,82.30018353,90.87207626,305.7812702,362.6836041,141.4886403,331.5132897,0.20043585,299.6492652,#REF!,301.3578496,792.4817242,#REF!,303.4686365,366.3188574,730.780092,1776.438059,0.211905719,312.4693697,366.685712,1723.65856,3592.238406,0.217884934,77.22186595,#REF!,21.85809295,447.2755522,28.21145298,6.620487156,23.41742157,13.16719296,33.664361,111.1104009,48.12381408,37,42.32458594,69.51625734,662.7303112,76.42279796,162.1157368,#REF!,0.30743222,0.62904304,0.324272463,153.6452232,8.970692852,0.672991965,0.104371393,0.001711168,86.91725594,0.723162091,0.213810167,166.199769,32.43813471,0,0,9,9,800,450,150,150,50,89.9167099,102.4294281,96.72759247,97.0430069,1.199,1.209,1.21,1.221,81.81307316,71.38567567,77.85852551,77.83018947,80.27226329,83.37045312,80.35176992,80.28259277,-1.54080987,11.98477745,2.49324441,2.452403307,0.081518401,-0.064765762,-0.32841096,176.468955,#REF!,#REF!,#REF!,2.50742197,7.225131035,16.50921822,36.24112701,94.34355927,88.34960175,92.31227112,96.94789124,,2.589318368,2.511200192,,25.54946401,,21.66212354,#REF!,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,0.166288697,0.14098794,,2.289318368,6.667242635,,30.12457132,,,,,0.671396131,68.02715504,66.51955723,33.33834237,42.91531528,2.233878895
03-09-2018,2,153.7183878,142.8800917,0.634565098,0.683161463,2.085849933,16.67193853,6.70839177,0.656798572,50.02889354,8.287340683,28.98858924,0.002228374,1.918476046,16.57934487,28.94906389,24.19477982,12.6110313,7.289157026,9.599612317,2.557700938,43.96617231,0.634565098,0.683161463,495.6449466,104.5024574,40.74457232,295.4164173,14.56618026,63.73058233,47.32058599,-69.64537808,0.127730242,1.461919696,0.049647706,0.064490881,32.98279688,0.410025293,88.56634976,2.339860048,4.030567797,3.726369523,9.46763252,7.123819208,0.100933459,26.77061107,2.068083539,78.35462562,7.022272596,6.771039688,7.609317377,4.741603304,4.700244805,-0.066921795,30.41004507,6.453457998,91.61120545,16.87487429,5.921832232,7.673365126,8.104471116,6.849273658,-0.325224028,39.58874298,16.40747297,92.95077683,35.03822267,142.8800917,9.722952427,9.793757998,17.27456548,14.51877641,-0.28367548,4853.855271,104.4799141,41.31568483,1.209958434,1.222499132,1.240748405,1.275170684,#REF!,92.95077683,1.181665644,2.337353382,1.172078291,2.403781494,1.212584672,2.314738126,1.180831907,2.068247961,1.244724254,5.086231689,1.221058484,5.523689749,1.298130761,4.354232879,1.296564387,4.371949043,82.2590022,100.8330919,82.48728348,91.34283764,305.9827969,361.5663498,141.543599,330.8374098,0.196599409,299.7706111,#REF!,304.1793704,790.126327,#REF!,303.4100451,364.6112054,734.3323878,1756.549237,0.210683404,312.588743,365.9507768,1710.702734,3538.157441,0.216884583,76.91949904,#REF!,20.34685433,427.619653,28.94906389,7.444922899,24.19477982,12.6110313,33.68986995,104.4799141,45.39382818,37,41.31568483,63.73058233,634.920813,75.72488386,153.7183878,#REF!,0.271776509,0.568814599,0.275926923,142.8800917,7.877587952,0.629530193,0.088738854,0.001589987,85.45380811,0.731241931,0.191474391,157.073611,33.97152966,0,0,9,9,800,450,150,150,50,88.56935883,103.272049,94.91036987,96.11476135,1.199,1.209,1.21,1.221,82.84000754,69.14927363,77.85852551,77.83018947,79.99990582,83.3881259,80.3816855,80.24341464,-2.840101719,14.23885226,2.523159981,2.413225174,0.079942223,-0.077073244,-0.327842547,172.6445178,#REF!,#REF!,#REF!,2.430811882,6.860159874,15.83837605,34.39487076,92.4421463,84.6621933,88.89481354,93.48394775,,2.618083539,2.530159075,,25.81388779,,20.46552588,#REF!,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,0.180668192,0.143235672,,2.318083539,6.703457998,,30.10752832,,,,,0.672457799,67.50295362,66.11477695,36.44282967,42.98181382,2.088296328
04-09-2018,2,169.2149522,157.342985,0.646557138,0.722743121,2.258068759,17.8717568,7.239109988,0.66239398,54.09775461,9.744850146,32.51729579,9.96E-05,1.48039267,19.22573033,33.96427447,26.93897184,14.83236743,7.958075836,9.436384933,2.897313633,43.15456926,0.646557138,0.722743121,494.3540408,104.4528708,40.28818137,292.6762294,14.605181,72.73662592,47.98045966,-69.45279412,0.168860801,1.490898515,0.058411284,0.093462365,32.26627983,0.410889234,88.16099683,2.344733084,4.066252246,3.819356424,9.45149422,7.1846737,0.107297812,24.71963248,2.004376188,70.82159448,7.061816634,7.45371134,8.09564858,4.950098841,4.856249763,0.022339012,29.93158434,6.366923334,91.99938943,17.0720135,6.144216638,7.652775397,8.142256053,6.751064249,-0.326825259,39.30959243,16.4836965,93.06283135,35.51697397,157.342985,10.70432688,9.960118014,18.1820587,14.67296505,-0.292369136,4956.460581,113.0352761,40.69471502,1.208107591,1.222409129,1.239303231,1.275184035,#REF!,93.06283135,1.182614776,2.339329779,1.154850258,2.462394375,1.214742882,2.36669215,1.182486485,2.086579166,1.245886096,5.06692373,1.19014478,6.259150424,1.291669955,4.428532771,1.295153159,4.388071476,81.28239917,114.1810372,83.51274418,91.69434863,305.2662798,361.1609968,141.6283414,331.3153966,0.197842592,297.7196325,#REF!,297.9304378,794.0051263,#REF!,302.9315843,364.9993894,725.8443677,1775.886247,0.208320873,312.3095924,366.0628314,1718.179354,3585.117244,0.215913534,78.55039984,#REF!,22.59273401,464.8547566,33.96427447,9.565842283,26.93897184,14.83236743,33.18285851,113.0352761,49.13118521,37,40.69471502,72.73662592,714.5764461,89.2191175,169.2149522,#REF!,0.340356895,0.6948933,0.365522983,157.342985,9.970859164,0.72382532,0.119178409,0.001775139,86.43929073,0.718400481,0.222794018,173.7748276,31.50099498,0,0,9,9,800,450,150,150,50,88.01241302,95.98767853,94.9839859,96.30187225,1.199,1.209,1.21,1.221,81.81307316,75.77925324,78.77908349,77.83018947,79.90373373,83.2597971,80.31427264,80.28557897,-1.909339428,7.480543852,1.535189152,2.4553895,0.084540597,0.015514132,-0.329455926,193.0779649,#REF!,#REF!,#REF!,2.488884687,7.145228386,16.16543961,35.69432831,92.2820282,87.34872437,90.88327026,95.89239502,,2.554376188,2.484523122,,25.59517777,,21.95222363,#REF!,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,0.162671235,0.139518286,,2.254376188,6.616923334,,29.8520677,,,,,0.670275002,68.20278711,65.25742316,38.45467587,43.16820714,2.089269843
05-09-2018,2,176.3350096,163.3075188,0.683940798,0.681608672,2.252391909,18.59180153,7.257897984,0.689548505,56.22601698,10.45764664,33.9886179,0,1.15697091,19.87923225,36.7448172,30.75029367,15.94387344,8.757604769,9.954738936,2.917772399,43.04477753,0.683940798,0.681608672,492.0513732,104.4885837,41.26669246,289.0174624,14.54892575,76.62106718,48.21729946,-69.34405718,0.433611823,1.497207365,0.075682086,0.086501865,32.17998229,0.411034391,88.23732239,2.349316416,4.137711783,3.915799376,9.50871261,7.225624963,0.108127042,24.07750486,1.96866951,67.53063884,7.061019468,7.412638938,7.739170705,5.060381068,4.973108613,-0.002118287,29.71804687,6.305687143,92.10858479,17.11141989,6.171808313,7.57324045,8.225830408,6.73674058,-0.330734317,39.00513428,16.39800418,93.2636258,35.64124896,163.3075188,10.49217175,9.782657145,18.19953701,14.36751106,-0.298517541,5010.555925,117.890316,41.61977433,1.207096696,1.22201848,1.238708735,1.275469422,#REF!,93.2636258,1.18371263,2.342268604,1.146268678,2.489188843,1.216728402,2.390982729,1.184377205,2.103966505,1.247127699,5.046490954,1.176043518,6.680413643,1.290383921,4.443716841,1.294491681,4.395681663,80.58060337,121.6709374,83.63385355,91.93570503,305.1799823,361.2373224,141.6425795,331.764967,0.198131223,297.0775049,#REF!,294.4280379,793.9269338,#REF!,302.7180469,365.1085848,719.8378265,1779.751545,0.207017593,312.0051343,366.2636258,1709.773958,3597.30714,0.215553194,79.28701043,0.151616421,23.57143626,479.8138098,36.7448172,9.691787701,30.75029367,15.94387344,32.94033777,117.890316,51.18535448,37,41.61977433,76.62106718,760.2635634,63.71841944,176.3350096,#REF!,0.380646906,0.755332325,0.478404969,163.3075188,11.11877983,0.76712502,0.156658509,0.001850404,86.71111162,0.721891539,0.23501074,181.2589598,30.6817222,0,0,9,9,800,450,150,150,50,88.24539948,92.63175964,95.32564545,96.5317688,1.199,1.209,1.21,1.221,81.06369972,79.47506905,78.77908349,77.83018947,79.80644107,83.53254199,80.3976953,80.27879,-1.257258654,4.057472944,1.618611813,2.448600531,0.085256631,-0.008668625,-0.333333375,202.664767,#REF!,#REF!,#REF!,2.53129077,7.368081093,16.52593994,36.6125946,92.79197693,86.97135925,91.93782043,97.37378693,,2.51866951,2.459546346,,25.84237816,,22.58812061,#REF!,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,0.158243652,0.138316477,,2.21866951,6.555687143,,29.61683888,,,,,0.669760363,68.25478041,65.94014445,40.60125456,43.44594252,2.096676343
06-09-2018,2,176.6526377,166.7173318,0.729461139,0.726380044,2.23438414,19.85943018,7.498515834,0.746017549,56.83353731,10.4898533,33.57245399,0,1.100830985,19.23641272,31.30981284,27.7098845,15.08018626,8.774741578,9.756240723,2.929465357,44.68359,0.729461139,0.726380044,491.2304149,104.5097195,42.63592038,286.8438885,14.31608856,76.83934011,48.4328245,-69.24689515,0.194406417,1.538658853,0.35419267,0.344511238,31.91684307,0.411383991,89.33763495,2.353967559,4.140021302,3.925073534,9.513923668,7.193680978,0.104853086,25.25049562,1.986974942,70.75300573,7.07747975,7.3041102,7.781164012,4.929154152,5.009309548,-0.112677347,29.62119936,6.332072324,91.76323728,17.21929452,6.167209193,7.790944224,8.056247672,6.799257513,-0.334348644,38.9730678,16.45762912,92.68895205,35.90583255,166.7173318,10.20555608,9.488335038,17.97009865,13.91687128,-0.300577835,5063.440438,119.4746306,43.24340244,1.210405827,1.222972751,1.24068892,1.276891232,#REF!,92.68895205,1.188340994,2.344921835,1.152564743,2.480288043,1.215471787,2.396864237,1.181631705,2.11192132,1.253876374,4.93892502,1.185271978,6.397470315,1.287369611,4.479839065,1.287404441,4.479417351,79.8537342,116.9388665,84.90716981,94.13524192,304.9168431,362.3376349,141.6768712,332.2211887,0.202448762,298.2504956,#REF!,296.2235827,795.5414915,#REF!,302.6211994,364.7632373,722.4258985,1790.332761,0.205793932,311.9730678,365.688952,1715.622455,3623.25964,0.212502211,79.59950119,0.154391162,23.72146449,477.8521558,31.30981284,7.131060939,27.7098845,15.08018626,32.88097177,119.4746306,51.83357959,37,43.24340244,76.83934011,778.6646868,37.4375573,176.6526377,#REF!,0.366992617,0.745407426,0.520813149,166.7173318,10.76709036,0.754679445,0.169206653,0.001874211,87.28057806,0.716629935,0.240852244,182.2069483,30.37140999,0,0,9,9,800,450,150,150,50,89.34518433,95.86116028,94.82752991,95.63726807,1.199,1.209,1.21,1.221,80.37176728,77.44383216,80.21607399,80.36633134,79.93870378,83.83604884,80.32929301,80.29694557,-0.433063507,6.392216682,0.113219023,-0.069385767,0.083141761,-0.121882487,-0.336718723,197.4278519,#REF!,#REF!,#REF!,2.561871767,7.410486698,16.87927055,37.33573914,93.87300873,86.95983124,92.92883301,98.47292328,,2.536974942,2.471624557,,25.65816559,,22.91287451,#REF!,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,0.153902209,0.137435468,,2.236974942,6.582072324,,29.57833594,,,,,0.669855694,67.95082965,67.60368056,43.44813764,43.44170052,2.102196452
07-09-2018,2,176.6543468,166.5905293,0.700582912,0.65783061,2.331876726,19.44169809,7.70377337,0.718284662,55.51068321,9.779209701,33.38158391,0,1.293921014,19.83633342,31.51284043,28.74785347,14.64667895,7.919354692,9.602665814,3.472100699,44.59386157,0.700582912,0.65783061,493.0254831,104.4522118,41.96914449,289.358905,14.47511754,77.22903426,48.33145234,-69.29156727,0.19384033,1.558142387,0.160772035,0.512093922,31.66514966,0.409481503,89.16642666,2.332245956,4.112987646,3.92341256,9.499795648,7.218297652,0.104591543,25.09334824,1.981670155,70.27202028,7.077375562,7.319897639,7.845785243,4.918820087,5.040254635,-0.153769574,29.33016664,6.323630277,90.37459313,17.22969878,6.342689469,8.36046529,7.982277905,7.052321535,-0.340414452,38.88175226,16.47734355,91.16566956,35.94999683,166.5905293,10.08176454,9.4392677,17.83597457,13.83921429,-0.302073043,5067.739061,119.1962246,42.45504954,1.210627198,1.223105311,1.240798354,1.276340485,#REF!,91.16566956,1.188754444,2.332956054,1.151558806,2.484286368,1.211880567,2.400892132,1.177169553,2.112065747,1.256449656,4.899400824,1.183537794,6.448469091,1.281092004,4.557554056,1.279038341,4.583736899,79.24069755,117.9258243,86.44720916,96.24248985,304.6651497,362.1664267,141.4902598,330.0905581,0.204088261,298.0933482,#REF!,295.7032464,795.5312718,#REF!,302.3301666,363.3745931,721.5978343,1791.353295,0.20226868,311.8817523,364.1656696,1717.556205,3627.59163,0.207291332,80.73189557,0.166981262,23.85829808,480.2007551,31.51284043,7.037870572,28.74785347,14.64667895,32.64240394,119.1962246,51.78067805,37,42.45504954,77.22903426,749.0102555,90.10244891,176.6543468,#REF!,0.350575801,0.753745285,0.511491192,166.5905293,10.29514854,0.762099806,0.166353304,0.00187476,87.7939456,0.715504207,0.240864043,182.6140576,30.42033111,0,0,9,9,800,450,150,150,50,89.17205048,95.26000214,93.38805389,94.13770294,1.199,1.209,1.21,1.221,79.80411649,78.14084291,82.02076554,82.96185732,79.97342944,83.85446072,80.33577204,80.31346798,0.169312954,5.713617802,-1.684993505,-2.648389339,0.082869989,-0.163866251,-0.342705774,195.5462247,#REF!,#REF!,#REF!,2.574604273,7.336756229,16.58996201,36.8875618,93.96829224,87.54084778,91.9026947,97.62110901,,2.531670155,2.471206838,,25.60091816,,22.42216016,#REF!,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,0.153675712,0.134594447,,2.231670155,6.573630277,,29.34599285,,,,,0.670881717,67.7409389,68.10400536,43.39436219,43.04795168,2.147301598
08-09-2018,2,158.0659429,148.3051071,0.706444732,0.594650539,1.855069875,19.87901917,5.241439578,0.643103589,40.69968141,2.950020329,32.67492398,0,0.797981765,19.10313305,35.45172851,28.82903499,12.65731576,8.006455189,10.16045769,3.176120989,43.71825861,0.706444732,0.594650539,492.9835428,104.4789998,42.39755115,290.8423921,14.18896251,64.32583478,47.37011917,-69.62005861,0.334807072,1.422654974,0.024188308,0.4825304,31.77946836,0.410666598,86.2747705,2.325150016,3.999716557,3.731829601,9.509864462,7.25016315,0.102257401,25.03189012,2.048045744,72.61860764,7.078623161,6.885967179,6.975943209,5.267060745,4.78779122,-0.123773895,29.16047486,6.488672757,86.59349605,16.98191176,6.611349724,9.06204766,8.198581603,7.892586645,-0.335312175,39.25438156,16.51497089,89.16335888,35.0870494,148.3051071,9.427267319,10.13032883,16.31705758,14.01985098,-0.28381601,4757.77527,106.7286622,43.33995555,1.205780268,1.220132947,1.239103556,1.274226785,25,89.16335888,1.178922919,2.326125727,1.159669885,2.435158141,1.201360586,2.318022428,1.171262091,2.058360459,1.242202101,5.128783349,1.199676656,6.00809668,1.279120628,4.582680393,1.280372574,4.566682668,81.52858534,108.6963867,86.42966929,95.27973481,304.7794684,359.2747705,141.6065035,329.3945308,0.194856921,298.0318901,298,302.2139012,795.6536465,-0.000110542,302.1604749,359.593496,737.7865364,1767.048339,0.199237138,312.2543816,362.1633589,1721.246999,3542.946763,0.205395746,79.71977741,0.130576794,20.54534248,440.4464337,35.45172851,10.30726559,28.82903499,12.65731576,32.62455071,106.7286622,46.21552175,37,43.33995555,64.32583478,728.7011525,0,158.0659429,0.024,0.277104272,0.589950404,0.260784569,148.3051071,8.109353703,0.638271151,0.084850471,0.00166967,85.43925791,0.719656014,0.206156302,163.1285931,32.08099413,0,0,9,9,810,360,140,150,160,86.31150055,97.47961426,90.003685,92.73171997,1.199,1.209,1.21,1.221,82.1003437,72.95537591,82.02076554,81.80262446,79.96877432,83.75828862,80.19858003,79.77075577,-2.131569386,10.80291271,-1.822185516,-2.031868696,0.079526152,-0.134149746,-0.337865449,171.2689721,#REF!,#REF!,#REF!,2.471852064,6.115281105,14.62641525,32.17059708,90.7301712,76.6973114,81.43495941,87.50453186,,2.598045744,2.515155333,,25.45899837,,18.24979126,#REF!,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,0.171666363,0.123055717,,2.298045744,6.738672757,,29.18506994,,,,,0.671716038,66.7979227,66.02559656,43.26144779,42.83266294,2.622216741
09-09-2018,2,156.094461,143.4525501,0.655034525,0.950557417,1.851101148,19.28346471,4.323355348,0.621732529,23.38997661,6.249707303,30.67822496,0,1.013679033,17.58877462,32.37605363,27.02199277,12.41597612,8.360789632,9.63714501,3.00284226,43.7117505,0.655034525,0.950557417,492.5621091,104.5310103,43.21701311,290.110218,14.11880961,62.01868413,47.36808899,-69.59749707,0.403650495,1.43392739,0.151580009,1.85786994,31.52793006,0.410671926,86.15107275,2.32746075,3.985053874,3.74064935,9.505804149,7.231475627,0.100712676,25.67950816,2.063667954,74.7422556,7.036105839,6.752732225,7.15104838,5.059809501,4.777922087,-0.12886601,29.20775076,6.465583577,86.32502873,16.81644964,6.591982406,9.075923076,8.291195916,7.941822398,-0.336359957,39.21504906,16.3314028,89.94794248,34.91126368,143.4525501,9.462279946,10.35078276,16.2866389,13.84499886,-0.282778149,4741.580066,105.2340409,44.25164281,1.203511715,1.216483593,1.23517549,1.268666863,25,89.94794248,1.179399973,2.327717739,1.164265529,2.411086475,1.202644187,2.303575804,1.171361091,2.069997114,1.242697555,5.120354651,1.208919165,5.786540293,1.283907168,4.522278103,1.277786665,4.599884819,80.58429687,103.2764019,84.10347103,94.41222556,304.5279301,359.1510727,141.607026,329.6211863,0.195268786,298.6795082,298,303.746254,791.4832035,-0.002378192,302.2077508,359.3250287,735.5217628,1750.818475,0.199609053,312.2150491,362.9479425,1703.241156,3525.704277,0.206951799,78.20368856,0.122499658,20.00511527,430.3011874,32.37605363,9.236867712,27.02199277,12.41597612,32.59857867,105.2340409,45.48263937,37,44.25164281,62.01868413,684.8154439,0,156.094461,0,0.263792796,0.570522262,0.287388297,143.4525501,7.631539276,0.623477369,0.093101369,0.001608042,85.01010541,0.733580831,0.197658541,160.422808,33.05329923,0,0,9.1,6.5,790,450,150,150,40,86.16023254,99.78833771,90.44839478,92.71656036,1.199,1.209,1.21,1.221,81.28016591,69.79954839,79.93241549,81.80262446,78.53786945,82.2078228,79.6082139,80.03414869,-2.742296457,12.40827441,-0.324201584,-1.768475771,0.07842763,-0.139718058,-0.338944074,149.010612,#REF!,#REF!,#REF!,2.563168526,6.935371876,16.14234734,34.70903778,92.82195282,83.19582367,88.46204376,93.643013,,2.613667954,2.525967215,,25.14605882,,16.28372168,#REF!,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,0.175291822,0.113512947,,2.313667954,6.715583577,,29.32338295,,,,,0.671562043,66.72674731,66.18674858,43.2524602,42.94360455,4.499179242
10-09-2018,2,153.7893907,140.118729,0.754960435,1.878661998,1.884810498,18.91056371,4.121979674,0.639166257,34.84795021,2.971040217,30.38521613,0,1.034582625,17.25837859,31.04460481,25.93810917,11.63707827,7.214561218,8.811883329,2.855636327,42.98083317,0.754960435,1.878661998,493.8725262,104.5807173,43.00113021,291.980606,14.21164615,60.50579506,47.38106238,-69.59481068,0.292845197,1.418510262,0.246830697,2.800552899,31.83193818,0.410865786,86.27528109,2.317486297,3.972398993,3.724389855,9.506807706,7.231177238,0.099727679,26.11560351,2.07084482,76.06261887,6.999993072,6.664089433,7.333465704,4.880306583,4.809104985,-0.113591731,29.69434514,6.434608015,86.53455729,16.69621344,6.581628323,9.126033031,8.331947838,8.055214364,-0.335152149,39.34952874,16.23805266,90.27334748,34.80037846,140.118729,9.373128975,10.65798566,16.10216169,13.57323633,-0.282189132,4727.678784,103.4977094,43.95698104,1.206840634,1.219977856,1.238060832,1.27237761,25,90.27334748,1.178622885,2.320497051,1.166982313,2.395159438,1.20142615,2.297242022,1.173326172,2.074765167,1.242601554,5.121985136,1.214763636,5.656281746,1.283106012,4.532245719,1.280422964,4.566041757,81.78579578,102.2901078,85.14839844,94.74516086,304.8319382,359.2752811,141.6260414,328.6428113,0.195214922,299.1156035,298,304.4502191,787.940971,-0.003929524,302.6943451,359.5345573,732.483429,1739.024736,0.199027293,312.3495287,363.2733475,1694.084618,3514.827756,0.206937245,78.63031775,0.117843102,19.64648746,423.8749585,31.04460481,8.759944008,25.93810917,11.63707827,32.89937037,103.4977094,44.81179936,37,43.95698104,60.50579506,666.4763669,0,153.7893907,0,0.246641478,0.565385056,0.266691268,140.118729,7.105970195,0.624846221,0.086144688,0.001566095,84.70011297,0.738642936,0.191469517,157.4459791,33.74052004,0,0,9,7,790,450,150,150,40,86.2818985,101.2869492,90.66490173,93.48787689,1.199,1.209,1.21,1.221,82.44102001,69.31171417,80.96591234,81.80262446,79.12957668,79.71283793,77.69958973,78.92100811,-3.311443329,10.40112376,-3.266322613,-2.881616354,0.077924669,-0.124584297,-0.337545882,152.8949347,#REF!,#REF!,#REF!,2.484597445,7.014364243,16.34205246,35.23081207,92.00208282,85.44483185,90.83460999,95.51207733,,2.62084482,2.530598658,,25.38368018,,17.01831519,#REF!,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,0.181158367,0.121456391,,2.32084482,6.684608015,,29.49407276,,,,,0.672134388,66.75539941,65.9132103,43.07235416,42.88765502,2.970244294
